ID,title,description,mandal_ID,status,duration_days,createdAt,createdBy,modifiedAt,modifiedBy
23035704-0838-4b46-b0c4-28d82934ce77,Navkar Mantra Adhyayan,Comprehensive study of the Navkar Mantra and its significance,27036764-62df-458f-b580-6e512cf5b9c7,active,30,2023-06-12T18:30:00.000Z,system,2023-06-12T18:30:00.000Z,system
23035705-5e00-4c12-bfd3-64120b36fcce,Tattvartha Sutra,Study of Umaswami's foundational Jain philosophical text,36770777-0a4d-45b0-89d4-6191567a75c5,active,90,2022-11-15T18:30:00.000Z,system,2024-12-27T18:30:00.000Z,system
23035706-611a-467f-b29f-7a227fbf2878,Bhaktamar Stotra Path,Learning and recitation of the 48-verse devotional hymn,3677078a-98cb-4d73-b193-55fc664d5131,draft,45,2023-02-18T18:30:00.000Z,system,2023-05-19T18:30:00.000Z,system
23035707-86fa-4641-bd94-233c2dc1b9c3,Jain Darshan Parichay,Introduction to Jain philosophy and core principles,27036764-62df-458f-b580-6e512cf5b9c7,draft,60,2023-08-06T18:30:00.000Z,system,2023-01-30T18:30:00.000Z,system
23035708-43d0-4bbf-9368-5da3e381c140,Ahimsa aur Dainik Jivan,Practical application of non-violence in daily life,36770777-0a4d-45b0-89d4-6191567a75c5,active,21,2022-07-17T18:30:00.000Z,system,2023-07-25T18:30:00.000Z,system
23035709-bf45-424c-9493-47438251d0d1,Jain Itihas,History of Jainism from Lord Rishabhanatha to present,3677078a-98cb-4d73-b193-55fc664d5131,active,45,2022-09-13T18:30:00.000Z,system,2023-02-03T18:30:00.000Z,system
23035710-973c-43c2-a0df-8e78173e1981,Prakrit Bhasha Basics,Introduction to the Prakrit language of Jain scriptures,27036764-62df-458f-b580-6e512cf5b9c7,archived,90,2022-02-21T18:30:00.000Z,system,2024-01-05T18:30:00.000Z,system
23035711-f0f9-4537-921e-d061fe46d5fc,Jain Agam Sahitya,Overview of canonical Jain Agam literature,36770777-0a4d-45b0-89d4-6191567a75c5,active,60,2022-10-08T18:30:00.000Z,system,2024-01-13T18:30:00.000Z,system
23035712-3a60-4c0f-8c38-c7f0b65f58a3,Dhyan aur Samayik,Meditation techniques and Samayik practice,3677078a-98cb-4d73-b193-55fc664d5131,archived,30,2023-06-02T18:30:00.000Z,system,2024-02-11T18:30:00.000Z,system
23035713-4f1f-4b3c-a72a-50a2bd04a9a5,Ratnakar Pacchisi,Study of the 25-verse devotional text,27036764-62df-458f-b580-6e512cf5b9c7,active,15,2023-11-29T18:30:00.000Z,system,2023-02-01T18:30:00.000Z,system
23035714-5641-4829-9f31-8c0988a5bb64,Uttaradhyayan Sutra,Key discourses of Lord Mahavir to monks,36770777-0a4d-45b0-89d4-6191567a75c5,active,75,2023-01-17T18:30:00.000Z,system,2024-05-15T18:30:00.000Z,system
23035715-2082-4644-b13b-128ee0f0be8d,Jain Ethics in Business,Applying Jain ethical principles in modern business,3677078a-98cb-4d73-b193-55fc664d5131,draft,14,2023-04-02T18:30:00.000Z,system,2023-07-01T18:30:00.000Z,system
23035716-be7b-460b-a1c0-c9ffa9073b7c,Dravya Sangraha,Study of the six substances in Jain metaphysics,27036764-62df-458f-b580-6e512cf5b9c7,archived,45,2023-08-24T18:30:00.000Z,system,2024-07-18T18:30:00.000Z,system
23035717-77b2-49a8-aeb8-b3ea8a3461a4,Samman Suttam,Study of the sacred Jain text compilation,36770777-0a4d-45b0-89d4-6191567a75c5,active,60,2022-12-19T18:30:00.000Z,system,2023-06-17T18:30:00.000Z,system
23035718-9b61-430c-81de-c82a2147833b,Sthanakwasi Traditions,Understanding Sthanakwasi practices and rituals,3677078a-98cb-4d73-b193-55fc664d5131,active,30,2023-12-07T18:30:00.000Z,system,2023-04-03T18:30:00.000Z,system
23035719-6440-498d-99da-d844af28f1f4,Jain Art and Architecture,Study of Jain temple architecture and art history,27036764-62df-458f-b580-6e512cf5b9c7,active,21,2022-01-29T18:30:00.000Z,system,2024-01-31T18:30:00.000Z,system
23035720-456e-4793-99b8-b30dabfb5447,Karma Siddhant,Understanding the Jain theory of karma in depth,36770777-0a4d-45b0-89d4-6191567a75c5,active,45,2022-06-16T18:30:00.000Z,system,2024-08-08T18:30:00.000Z,system
23035721-0125-431f-9e9f-aa703fea57a6,Anekantavada Philosophy,Study of the Jain doctrine of many-sidedness,3677078a-98cb-4d73-b193-55fc664d5131,active,30,2022-08-15T18:30:00.000Z,system,2024-10-24T18:30:00.000Z,system
23035722-ad97-473a-b7cf-6c48cd6c6f96,Jain Festival Calendar,Understanding significance of all Jain festivals,27036764-62df-458f-b580-6e512cf5b9c7,active,14,2023-11-25T18:30:00.000Z,system,2023-07-31T18:30:00.000Z,system
23035723-2ace-4d29-bd47-834078f024bd,Youth Spiritual Development,Spiritual growth program for young adults,36770777-0a4d-45b0-89d4-6191567a75c5,active,60,2023-10-30T18:30:00.000Z,system,2024-02-24T18:30:00.000Z,system
23035724-e019-4a9a-a47f-f01b78373d46,Navkar Mantra Adhyayan - Batch 2,Comprehensive study of the Navkar Mantra and its significance,3677078a-98cb-4d73-b193-55fc664d5131,draft,30,2022-01-21T18:30:00.000Z,system,2024-11-29T18:30:00.000Z,system
23035725-fa5e-4aee-8df6-45b68816c8f5,Tattvartha Sutra - Batch 2,Study of Umaswami's foundational Jain philosophical text,27036764-62df-458f-b580-6e512cf5b9c7,active,90,2023-05-01T18:30:00.000Z,system,2023-05-16T18:30:00.000Z,system
23035726-31d2-4218-8113-d0a40c68f1ed,Bhaktamar Stotra Path - Batch 2,Learning and recitation of the 48-verse devotional hymn,36770777-0a4d-45b0-89d4-6191567a75c5,active,45,2023-09-08T18:30:00.000Z,system,2023-01-09T18:30:00.000Z,system
23035727-a26f-46a2-a2ec-7ae165e4dea6,Jain Darshan Parichay - Batch 2,Introduction to Jain philosophy and core principles,3677078a-98cb-4d73-b193-55fc664d5131,active,60,2022-09-16T18:30:00.000Z,system,2024-09-14T18:30:00.000Z,system
23035728-454c-4b50-a1d7-171ff19028ea,Ahimsa aur Dainik Jivan - Batch 2,Practical application of non-violence in daily life,27036764-62df-458f-b580-6e512cf5b9c7,active,21,2023-12-31T18:30:00.000Z,system,2024-12-27T18:30:00.000Z,system
23035729-a902-41f0-95b5-8bd96a7ccbca,Jain Itihas - Batch 2,History of Jainism from Lord Rishabhanatha to present,36770777-0a4d-45b0-89d4-6191567a75c5,active,45,2023-03-10T18:30:00.000Z,system,2024-01-21T18:30:00.000Z,system
23035730-9bb7-4465-ac1a-d48ab56f001e,Prakrit Bhasha Basics - Batch 2,Introduction to the Prakrit language of Jain scriptures,3677078a-98cb-4d73-b193-55fc664d5131,active,90,2023-04-16T18:30:00.000Z,system,2023-09-16T18:30:00.000Z,system
23035731-5e0c-4dc4-bf46-8b03e8d80d1b,Jain Agam Sahitya - Batch 2,Overview of canonical Jain Agam literature,27036764-62df-458f-b580-6e512cf5b9c7,active,60,2023-04-23T18:30:00.000Z,system,2023-11-06T18:30:00.000Z,system
23035732-7346-4cbf-8b66-9494c9d1277b,Dhyan aur Samayik - Batch 2,Meditation techniques and Samayik practice,36770777-0a4d-45b0-89d4-6191567a75c5,draft,30,2023-10-01T18:30:00.000Z,system,2024-02-11T18:30:00.000Z,system
23035733-006c-4d4e-afbb-c54bc7823929,Ratnakar Pacchisi - Batch 2,Study of the 25-verse devotional text,3677078a-98cb-4d73-b193-55fc664d5131,draft,15,2022-04-15T18:30:00.000Z,system,2023-01-08T18:30:00.000Z,system
23035734-67a6-4d46-ac55-41ee12a7302f,Uttaradhyayan Sutra - Batch 2,Key discourses of Lord Mahavir to monks,27036764-62df-458f-b580-6e512cf5b9c7,draft,75,2023-11-10T18:30:00.000Z,system,2024-01-19T18:30:00.000Z,system
23035735-5212-49b0-a3e0-6fe10b6e58d8,Jain Ethics in Business - Batch 2,Applying Jain ethical principles in modern business,36770777-0a4d-45b0-89d4-6191567a75c5,draft,14,2023-10-25T18:30:00.000Z,system,2024-08-31T18:30:00.000Z,system
23035736-e0df-4cf7-80fe-6b3f7ba30922,Dravya Sangraha - Batch 2,Study of the six substances in Jain metaphysics,3677078a-98cb-4d73-b193-55fc664d5131,draft,45,2022-10-17T18:30:00.000Z,system,2023-11-02T18:30:00.000Z,system
23035737-5a09-4f5b-a724-9b3302a15cd0,Samman Suttam - Batch 2,Study of the sacred Jain text compilation,27036764-62df-458f-b580-6e512cf5b9c7,active,60,2023-05-09T18:30:00.000Z,system,2023-03-07T18:30:00.000Z,system
23035738-5314-4c2a-95be-45c3d431cf8e,Sthanakwasi Traditions - Batch 2,Understanding Sthanakwasi practices and rituals,36770777-0a4d-45b0-89d4-6191567a75c5,active,30,2022-10-11T18:30:00.000Z,system,2024-10-17T18:30:00.000Z,system
23035739-ad43-4f0e-a74d-4601c066e5ab,Jain Art and Architecture - Batch 2,Study of Jain temple architecture and art history,3677078a-98cb-4d73-b193-55fc664d5131,active,21,2022-10-11T18:30:00.000Z,system,2023-09-25T18:30:00.000Z,system
23035740-7bfa-451b-89d1-dc86b0fee24e,Karma Siddhant - Batch 2,Understanding the Jain theory of karma in depth,27036764-62df-458f-b580-6e512cf5b9c7,active,45,2022-07-12T18:30:00.000Z,system,2023-06-03T18:30:00.000Z,system
23035741-81af-4ced-b2fc-14d5c6f6898c,Anekantavada Philosophy - Batch 2,Study of the Jain doctrine of many-sidedness,36770777-0a4d-45b0-89d4-6191567a75c5,draft,30,2022-09-04T18:30:00.000Z,system,2023-02-28T18:30:00.000Z,system
23035742-e7a0-40e5-8b5c-8abed760c649,Jain Festival Calendar - Batch 2,Understanding significance of all Jain festivals,3677078a-98cb-4d73-b193-55fc664d5131,draft,14,2023-02-18T18:30:00.000Z,system,2024-11-07T18:30:00.000Z,system
23035743-1843-450d-aa16-2883173b7de7,Youth Spiritual Development - Batch 2,Spiritual growth program for young adults,27036764-62df-458f-b580-6e512cf5b9c7,active,60,2023-11-29T18:30:00.000Z,system,2023-05-24T18:30:00.000Z,system
23035744-2022-44b0-9a2d-a3fd7aff0c8f,Navkar Mantra Adhyayan - Batch 3,Comprehensive study of the Navkar Mantra and its significance,36770777-0a4d-45b0-89d4-6191567a75c5,active,30,2023-11-03T18:30:00.000Z,system,2024-05-24T18:30:00.000Z,system
23035745-7e26-41c6-81eb-527ca81ea35b,Tattvartha Sutra - Batch 3,Study of Umaswami's foundational Jain philosophical text,3677078a-98cb-4d73-b193-55fc664d5131,active,90,2022-09-23T18:30:00.000Z,system,2024-03-04T18:30:00.000Z,system
23035746-c24e-40b9-8518-b12b5bb7bfd1,Bhaktamar Stotra Path - Batch 3,Learning and recitation of the 48-verse devotional hymn,27036764-62df-458f-b580-6e512cf5b9c7,archived,45,2023-02-02T18:30:00.000Z,system,2023-02-06T18:30:00.000Z,system
23035747-eb70-4acf-81ce-e5bc706f41c4,Jain Darshan Parichay - Batch 3,Introduction to Jain philosophy and core principles,36770777-0a4d-45b0-89d4-6191567a75c5,draft,60,2023-12-27T18:30:00.000Z,system,2024-08-08T18:30:00.000Z,system
23035748-b51d-4430-b11c-484272e1bb5d,Ahimsa aur Dainik Jivan - Batch 3,Practical application of non-violence in daily life,3677078a-98cb-4d73-b193-55fc664d5131,active,21,2022-12-18T18:30:00.000Z,system,2024-12-31T18:30:00.000Z,system
23035749-0bcf-493f-86f7-0e3e32ba5451,Jain Itihas - Batch 3,History of Jainism from Lord Rishabhanatha to present,27036764-62df-458f-b580-6e512cf5b9c7,active,45,2023-12-04T18:30:00.000Z,system,2024-07-01T18:30:00.000Z,system
23035750-ca59-4384-a24d-02baac077236,Prakrit Bhasha Basics - Batch 3,Introduction to the Prakrit language of Jain scriptures,36770777-0a4d-45b0-89d4-6191567a75c5,archived,90,2023-11-19T18:30:00.000Z,system,2024-01-03T18:30:00.000Z,system
23035751-db5f-40f3-9140-8b0ce7378929,Jain Agam Sahitya - Batch 3,Overview of canonical Jain Agam literature,3677078a-98cb-4d73-b193-55fc664d5131,draft,60,2022-11-04T18:30:00.000Z,system,2023-06-24T18:30:00.000Z,system
23035752-31d8-4438-9285-9eaa571de667,Dhyan aur Samayik - Batch 3,Meditation techniques and Samayik practice,27036764-62df-458f-b580-6e512cf5b9c7,draft,30,2022-07-05T18:30:00.000Z,system,2023-10-28T18:30:00.000Z,system
23035753-eced-4c70-b74e-523387fd1f3f,Ratnakar Pacchisi - Batch 3,Study of the 25-verse devotional text,36770777-0a4d-45b0-89d4-6191567a75c5,active,15,2023-04-28T18:30:00.000Z,system,2023-05-12T18:30:00.000Z,system
